"TimeCreated","EventId","Computer","TargetUserName","TargetDomainName","WorkstationName","IpAddress","IpPort","LogonType","Status","SubStatus","FailureReason","ProcessName","AuthenticationPkg"
"2026-09-01T16:52:41.2616160-04:00","4625","LAB-WINDOWS-01","SOC-Lab-User","LAB-WINDOWS-01","LAB-WINDOWS-01","LOCAL","0","2","0xc000006d","0xc000006a","%%2313","C:\Windows\System32\svchost.exe","Negotiate"
"2026-09-01T16:52:26.5392601-04:00","4625","LAB-WINDOWS-01","SOC-Lab-User","LAB-WINDOWS-01","LAB-WINDOWS-01","LOCAL","0","2","0xc000006d","0xc000006a","%%2313","C:\Windows\System32\svchost.exe","Negotiate"
"2026-09-01T16:48:51.9447421-04:00","4625","LAB-WINDOWS-01","SOC-Lab-User","LAB-WINDOWS-01","LAB-WINDOWS-01","LOCAL","0","2","0xc000006d","0xc000006a","%%2313","C:\Windows\System32\svchost.exe","Negotiate"


